Id,Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
12595,67752972,Wattkyuki,synchro,Thunder,8,-1,0,0,LIGHT
12596,45801022,Wattlemur,effect,Thunder,2,-1,0,0,LIGHT
12597,32548609,Wattmole,effect,Thunder,3,-1,0,0,LIGHT
12598,81896771,Wattpheasant,effect,Thunder,4,-1,0,0,LIGHT
12599,56577312,Wattrain,spell,Normal,0,-1,0,0,
12600,23274061,Wattsquirrel,effect,Thunder,3,-1,0,0,LIGHT
12601,81028112,Wattsychic Fighter,effect,Psychic,3,-1,0,0,LIGHT
12602,51303014,Wattsychic Fighting Porter,spell,Quick-Play,0,-1,0,0,
12603,10113611,Wattuna,effect,Thunder,4,-1,0,0,LIGHT
12604,12296376,Wattwoodpecker,effect,Thunder,3,-1,0,0,LIGHT
12605,38992735,Wave-Motion Cannon,spell,Continuous,0,-1,0,0,
12606,63665606,Wave-Motion Inferno,spell,Continuous,0,-1,0,0,
12607,31222701,Wavering Eyes,spell,Quick-Play,0,-1,0,0,
12608,91880660,Way Where There's a Will,spell,Field,0,-1,0,0,
12609,10035717,Weapon Change,spell,Continuous,0,-1,0,0,
12610,37243151,Weather Control,normal,Fairy,2,-1,0,0,LIGHT
12611,72053645,Weather Report,effect,Aqua,4,-1,0,0,WATER
12612,23147658,Weathering Soldier,effect,Rock,4,-1,0,0,EARTH
12613,71384012,Wee Witch's Apprentice,link,Spellcaster,2,-1,0,0,DARK
12614,28604635,Weed Out,trap,Normal,0,-1,0,0,
12615,5763020,Weeping Idol,effect,Rock,2,-1,0,0,DARK
12616,39103226,Weighbridge,trap,Normal,0,-1,0,0,
12617,42548470,Weights & Zenmaisures,spell,Normal,0,-1,0,0,
12618,96576187,Weiss Lightsworn Archfiend,effect,Fiend,4,-1,0,0,LIGHT
12619,5380979,Welcome Labrynth,trap,Normal,0,-1,0,0,
12620,300302076,Welcome to the Jungle,skill,Tania,0,-1,0,0,
12621,96643568,Wetha,normal,Aqua,3,-1,0,0,WATER
12622,2084239,Wetlands,spell,Field,0,-1,0,0,
12623,65961085,Wheel of Prophecy,effect,Spellcaster,8,-1,0,0,DARK
12624,60283232,Wheel Synchron,effect,Machine,5,-1,0,0,LIGHT
12625,51405049,Where Arf Thou?,spell,Normal,0,-1,0,0,
12626,91996584,Whiptail Crow,normal,Fiend,4,-1,0,0,DARK
12627,91822647,Whirlwind of Gusto,trap,Normal,0,-1,0,0,
12628,15090429,Whirlwind Prodigy,effect,Fairy,4,-1,0,0,WIND
12629,93730409,Whirlwind Weasel,effect,Beast,3,-1,0,0,WIND
12630,62173132,Whispers of the Sinful Spoils,spell,Quick-Play,0,-1,0,0,
12631,57964143,White Arbitration,trap,Continuous,0,-1,0,0,
12632,89907227,White Aura Bihamut,synchro,Fish,10,-1,0,0,WATER
12633,78229193,White Aura Dolphin,synchro,Fish,6,-1,0,0,WATER
12634,63731062,White Aura Monoceros,synchro,Fish,7,-1,0,0,WATER
12635,46956301,White Aura Porpoise,synchro,Fish,6,-1,0,0,WATER
12636,5614808,White Aura Whale,synchro,Fish,8,-1,0,0,WATER
12637,21579049,White Circle Reef,spell,Normal,0,-1,0,0,
12638,92409659,White Dolphin,normal,Fish,2,-1,0,0,WATER
